ticker,company_name,url,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,topix_open_at_appointment,topix_close_at_resignation,excess_return_annual,tenure_years,photo_paths,photo_count,source
5834,SBIリーシングサービス,https://www.sbils.co.jp/,羽佐間重彰,prev_1,2003年7月,,,,,,,,photos_2/5834_SBIリーシングサービス/history/01_羽佐間重彰/photo_01.jpg,1,history
5834,SBIリーシングサービス,https://www.sbils.co.jp/,日枝久,prev_2,2003年7月,2025年3月,,,,,,,photos_2/5834_SBIリーシングサービス/history/02_日枝久/photo_01.jpg,1,history
5834,SBIリーシングサービス,https://www.sbils.co.jp/,鹿内信隆,prev_3,,,,,,,,,,0,history
5834,SBIリーシングサービス,https://www.sbils.co.jp/,鹿内春雄,prev_4,,,,,,,,,photos_2/5834_SBIリーシングサービス/history/04_鹿内春雄/photo_01.jpg,1,history
5834,SBIリーシングサービス,https://www.sbils.co.jp/,鹿内宏明,prev_5,,,,,,,,,photos_2/5834_SBIリーシングサービス/history/05_鹿内宏明/photo_01.jpg,1,history
5834,SBIリーシングサービス,https://www.sbils.co.jp/,小林吉彦,prev_6,,,,,,,,,photos_2/5834_SBIリーシングサービス/history/06_小林吉彦/photo_01.jpg,1,history
5845,全保連,https://www.zenhoren.jp/,茨木 英彦,current,,,,,,,,,photos_2/5845_全保連/current/photo_01.jpg,1,current
5845,全保連,https://www.zenhoren.jp/,娼館 望郷,prev_1,,,,,,,,,photos_2/5845_全保連/history/01_娼館_望郷/photo_01.jpg,1,history
5845,全保連,https://www.zenhoren.jp/,七号 君想,prev_2,,,,,,,,,photos_2/5845_全保連/history/02_七号_君想/photo_01.jpg,1,history
5851,リョービ,https://www.ryobi-group.co.jp/,本氏 成長路,prev_1,2020年5月2日,2020年5月2日,,,,,,,photos_2/5851_リョービ/history/01_本氏_成長路/photo_01.jpg,1,history
5851,リョービ,https://www.ryobi-group.co.jp/,口氏 久芳社,prev_2,2009年2月17日,2020年5月2日,,,,,,,photos_2/5851_リョービ/history/02_口氏_久芳社/photo_01.jpg,1,history
5857,AREホールディングス,https://www.are-holdings.com/,東浦 知哉,current,,,,,,,,,photos_2/5857_AREホールディングス/current/photo_01.jpg,1,current
5852,アーレスティ,https://www.ahresty.co.jp/,定生 産,current,,,,,,,,,photos_2/5852_アーレスティ/current/photo_01.jpg,1,current
5870,ナルネットコミュニケーションズ,https://www.nal-mt.co.jp/,鈴木 隆志,prev_1,2026年1月5日,2026年1月,,,,,,,photos_2/5870_ナルネットコミュニケーションズ/history/01_鈴木_隆志/photo_01.jpg,1,history
5889,Japan　Eyewear　Holdings,https://www.japan-eyewear-holdings.co.jp/,金子　真也,current,,,,,,,,,photos_2/5889_Japan_Eyewear_Holdings/current/photo_01.jpg,1,current
5867,エスネットワークス,https://esnet.co.jp/,進士仁一,prev_1,,,,,,,,,photos_2/5867_エスネットワークス/history/01_進士仁一/photo_01.jpg,1,history
5867,エスネットワークス,https://esnet.co.jp/,手塚卓志,prev_2,,,,,,,,,photos_2/5867_エスネットワークス/history/02_手塚卓志/photo_01.jpg,1,history
5885,ジーデップ・アドバンス,https://info.gdep.co.jp/,投資家,current,2023年6月,,2625.46,,,,,,photos_2/5885_ジーデップ・アドバンス/current/photo_01.jpg,1,current
5891,魁力屋,https://www.kairikiya.co.jp/,植村甲午郎,prev_1,,,,,,,,,photos_2/5891_魁力屋/history/01_植村甲午郎/photo_01.jpg,1,history
5891,魁力屋,https://www.kairikiya.co.jp/,水野成夫,prev_2,,,,,,,,,photos_2/5891_魁力屋/history/02_水野成夫/photo_01.jpg,1,history
5891,魁力屋,https://www.kairikiya.co.jp/,鹿内信隆,prev_3,,,,,,,,,,0,history
5891,魁力屋,https://www.kairikiya.co.jp/,浅野賢澄,prev_4,,,,,,,,,photos_2/5891_魁力屋/history/04_浅野賢澄/photo_01.jpg,1,history
5891,魁力屋,https://www.kairikiya.co.jp/,鹿内春雄,prev_5,,,,,,,,,photos_2/5891_魁力屋/history/05_鹿内春雄/photo_01.jpg,1,history
5891,魁力屋,https://www.kairikiya.co.jp/,鹿内宏明,prev_6,,,,,,,,,photos_2/5891_魁力屋/history/06_鹿内宏明/photo_01.jpg,1,history
5891,魁力屋,https://www.kairikiya.co.jp/,日枝久,prev_7,,,,,,,,,photos_2/5891_魁力屋/history/07_日枝久/photo_01.jpg,1,history
